,input,output
16,"Given the question ""Which statement is an example of why the father created rule number 1?"" and the answer ""Teenagers often drive at high speeds."", write a conversation that might have happened.
","
Daughter: Guess what, Mom. I got it.

Mother: Great. That's super.

Father: What's going on? So, what did you get me?

Daughter: Nothing. I got my driver's license. Okay. Bye.

Father: Wait, wait, wait. Where are you going?

Daughter: Mom said I could take the car to school this morning, and ...

Father: Hold on here. I've prepared a few rules regarding the use of the motor vehicles in this house.

Daughter: Like what?

Father: Let me get my notes here.

Daughter: Dad! That looks like a book? Mom, Dad's being mean to me.

Father: Okay, let me get my reading glasses here. Okay, here we are. Rule number one: No driving with friends for the first six months.

Daughter: What?

Father: Teenagers often lack the judgment to drive responsibly, especially when several teenagers are involved. I mean they speed, they joyride, they cruise around town way past midnight.

Daughter: But that's not me! Do I really need this lecture? This is such a drag!

Father: Furthermore, who really needs a car when a pair of shoes will work? I mean, life was different when I was your age. In fact, I used to walk to school ...

Daughter: Yeah, yeah. I know. Both ways uphill in ten feet of snow. I've heard this story many times.

Father: Yeah. Oh, where were we? Oh yes. Rule number two: You always must wear your seat belt and obey the rules of the road.

Daughter: Duh. I wasn't born yesterday.

Father: Okay, rule number three: You can't drive long distances at night because you might get drowsy and drive off the road. But driving to the movie theater is fine.

Daughter: But the movie theater is right across the street from our house.

Father: Exactly, so you can just park in the driveway and walk there.

Daughter: Mom! Dad's being unreasonable.

Father: And rule number four: You should never use a cell phone while driving. That could cause an accident.

Daughter: But YOU do.

Father: That's different.

Daughter: How's it different? You even need my help to turn your cell phone on.

Father: And rule number five: Remember that I love you,..."
17,"Given the question ""Why does the father ask the daughter not to drive at night?"" and the answer ""The girl might fall asleep at the wheel."", write a conversation that might have happened.
","
Daughter: Guess what, Mom. I got it.

Mother: Great. That's super.

Father: What's going on? So, what did you get me?

Daughter: Nothing. I got my driver's license. Okay. Bye.

Father: Wait, wait, wait. Where are you going?

Daughter: Mom said I could take the car to school this morning, and ...

Father: Hold on here. I've prepared a few rules regarding the use of the motor vehicles in this house.

Daughter: Like what?

Father: Let me get my notes here.

Daughter: Dad! That looks like a book? Mom, Dad's being mean to me.

Father: Okay, let me get my reading glasses here. Okay, here we are. Rule number one: No driving with friends for the first six months.

Daughter: What?

Father: Teenagers often lack the judgment to drive responsibly, especially when several teenagers are involved. I mean they speed, they joyride, they cruise around town way past midnight.

Daughter: But that's not me! Do I really need this lecture? This is such a drag!

Father: Furthermore, who really needs a car when a pair of shoes will work? I mean, life was different when I was your age. In fact, I used to walk to school ...

Daughter: Yeah, yeah. I know. Both ways uphill in ten feet of snow. I've heard this story many times.

Father: Yeah. Oh, where were we? Oh yes. Rule number two: You always must wear your seat belt and obey the rules of the road.

Daughter: Duh. I wasn't born yesterday.

Father: Okay, rule number three: You can't drive long distances at night because you might get drowsy and drive off the road. But driving to the movie theater is fine.

Daughter: But the movie theater is right across the street from our house.

Father: Exactly, so you can just park in the driveway and walk there.

Daughter: Mom! Dad's being unreasonable.

Father: And rule number four: You should never use a cell phone while driving. That could cause an accident.

Daughter: But YOU do.

Father: That's different.

Daughter: How's it different? You even need my help to turn your cell phone on.

Father: And rule number five: Remember that I love you,..."
18,"Given the question ""Why does the daughter dismiss, or not take seriously, rule number 4?"" and the answer ""The father doesn't obey the rule either."", write a conversation that might have happened.
","
Daughter: Guess what, Mom. I got it.

Mother: Great. That's super.

Father: What's going on? So, what did you get me?

Daughter: Nothing. I got my driver's license. Okay. Bye.

Father: Wait, wait, wait. Where are you going?

Daughter: Mom said I could take the car to school this morning, and ...

Father: Hold on here. I've prepared a few rules regarding the use of the motor vehicles in this house.

Daughter: Like what?

Father: Let me get my notes here.

Daughter: Dad! That looks like a book? Mom, Dad's being mean to me.

Father: Okay, let me get my reading glasses here. Okay, here we are. Rule number one: No driving with friends for the first six months.

Daughter: What?

Father: Teenagers often lack the judgment to drive responsibly, especially when several teenagers are involved. I mean they speed, they joyride, they cruise around town way past midnight.

Daughter: But that's not me! Do I really need this lecture? This is such a drag!

Father: Furthermore, who really needs a car when a pair of shoes will work? I mean, life was different when I was your age. In fact, I used to walk to school ...

Daughter: Yeah, yeah. I know. Both ways uphill in ten feet of snow. I've heard this story many times.

Father: Yeah. Oh, where were we? Oh yes. Rule number two: You always must wear your seat belt and obey the rules of the road.

Daughter: Duh. I wasn't born yesterday.

Father: Okay, rule number three: You can't drive long distances at night because you might get drowsy and drive off the road. But driving to the movie theater is fine.

Daughter: But the movie theater is right across the street from our house.

Father: Exactly, so you can just park in the driveway and walk there.

Daughter: Mom! Dad's being unreasonable.

Father: And rule number four: You should never use a cell phone while driving. That could cause an accident.

Daughter: But YOU do.

Father: That's different.

Daughter: How's it different? You even need my help to turn your cell phone on.

Father: And rule number five: Remember that I love you,..."
19,"Given the question ""How does the conversation end?"" and the answer ""The girl persuades the father to let her drive the car."", write a conversation that might have happened.
","
Daughter: Guess what, Mom. I got it.

Mother: Great. That's super.

Father: What's going on? So, what did you get me?

Daughter: Nothing. I got my driver's license. Okay. Bye.

Father: Wait, wait, wait. Where are you going?

Daughter: Mom said I could take the car to school this morning, and ...

Father: Hold on here. I've prepared a few rules regarding the use of the motor vehicles in this house.

Daughter: Like what?

Father: Let me get my notes here.

Daughter: Dad! That looks like a book? Mom, Dad's being mean to me.

Father: Okay, let me get my reading glasses here. Okay, here we are. Rule number one: No driving with friends for the first six months.

Daughter: What?

Father: Teenagers often lack the judgment to drive responsibly, especially when several teenagers are involved. I mean they speed, they joyride, they cruise around town way past midnight.

Daughter: But that's not me! Do I really need this lecture? This is such a drag!

Father: Furthermore, who really needs a car when a pair of shoes will work? I mean, life was different when I was your age. In fact, I used to walk to school ...

Daughter: Yeah, yeah. I know. Both ways uphill in ten feet of snow. I've heard this story many times.

Father: Yeah. Oh, where were we? Oh yes. Rule number two: You always must wear your seat belt and obey the rules of the road.

Daughter: Duh. I wasn't born yesterday.

Father: Okay, rule number three: You can't drive long distances at night because you might get drowsy and drive off the road. But driving to the movie theater is fine.

Daughter: But the movie theater is right across the street from our house.

Father: Exactly, so you can just park in the driveway and walk there.

Daughter: Mom! Dad's being unreasonable.

Father: And rule number four: You should never use a cell phone while driving. That could cause an accident.

Daughter: But YOU do.

Father: That's different.

Daughter: How's it different? You even need my help to turn your cell phone on.

Father: And rule number five: Remember that I love you,..."
20,"Given the question ""What's the man's opinion of the woman's car?"" and the answer ""Her car is not so good."", write a conversation that might have happened.
","
W: What do you think of my new car?

M: To be honest, it is no better than mine."
21,"Given the question ""Where are they talking?"" and the answer ""In a street."", write a conversation that might have happened.
","
F: Excuse me. Could you tell me the way to the Book Shop?

M: OK. Turn left at the second crossing, the highest building on the left is the shop."
22,"Given the question ""Where are they going to do tomorrow afternoon?"" and the answer ""They are going shopping."", write a conversation that might have happened.
","
W: This is a beautiful park. Shall we come again tomorrow?

M: Don't we have to go shopping?

W: We can do that in the afternoon, and come here in the morning.

M: OK. And let's bring Hilda and Julia with us."
23,"Given the question ""What are the speakers talking about?"" and the answer ""The weather."", write a conversation that might have happened.
","
W: What did the weatherman say?

M: It's supposed to clear up this week."
24,"Given the question ""When will the concert finish?"" and the answer ""Nine thirty."", write a conversation that might have happened.
","
F: When will the concert finish?

M: Well...it starts at six thirty, and will lasts three hours."
25,"Given the question ""What does the woman do?"" and the answer ""She is a waitress."", write a conversation that might have happened.
","
M: Hello, Jean!

W: Mike Carstairs! My favorite customer. You haven't been in for ages.

M: No, I haven't. That's right.

W: How are you?

M: I'm fine. I heard you weren't well.

W: Well, I was away for a couple of weeks. But I'm fine now. Ah! You were going to the States, weren't you?

M: I planned to go there, but I didn't.

W: Oh, didn't you?

M: What I have been doing is reorganizing the whole department non-stop since I saw you. And this is the first time I've been in here since Christmas.

W: Well, it's good to see you. Are you ready to order?"
26,"Given the question ""Why haven't they seen each other lately?"" and the answer ""He has been busy."", write a conversation that might have happened.
","
M: Hello, Jean!

W: Mike Carstairs! My favorite customer. You haven't been in for ages.

M: No, I haven't. That's right.

W: How are you?

M: I'm fine. I heard you weren't well.

W: Well, I was away for a couple of weeks. But I'm fine now. Ah! You were going to the States, weren't you?

M: I planned to go there, but I didn't.

W: Oh, didn't you?

M: What I have been doing is reorganizing the whole department non-stop since I saw you. And this is the first time I've been in here since Christmas.

W: Well, it's good to see you. Are you ready to order?"
27,"Given the question ""Where does Tom live?"" and the answer ""In the countryside."", write a conversation that might have happened.
","
W: Has Tom moved to the downtown?

M: No. He is still living in the country."
28,"Given the question ""Why does the woman invite the man to dinner?"" and the answer ""She has passed her driving test."", write a conversation that might have happened.
","
W: Hi, John! I'd like to invite you to dinner this evening.

M: To dinner? What for?

W: I have passed my driving test!

M: Congratulations! I'm really glad to hear that.

W: Thank you! I have been preparing for it for half a year, you know. And I've made it at last.

M: So, where shall we have our dinner?

W: How about the Friendship Hotel? I like the food and service there.

M: I agree. I'll take you there in my car.

W: Fine. Let's go at half past six."
29,"Given the question ""Why does the woman want to go to the Friendship Hotel?"" and the answer ""She likes the food and service there."", write a conversation that might have happened.
","
W: Hi, John! I'd like to invite you to dinner this evening.

M: To dinner? What for?

W: I have passed my driving test!

M: Congratulations! I'm really glad to hear that.

W: Thank you! I have been preparing for it for half a year, you know. And I've made it at last.

M: So, where shall we have our dinner?

W: How about the Friendship Hotel? I like the food and service there.

M: I agree. I'll take you there in my car.

W: Fine. Let's go at half past six."
30,"Given the question ""How will the two speakers go to the Friendship Hotel?"" and the answer ""By Car."", write a conversation that might have happened.
","
W: Hi, John! I'd like to invite you to dinner this evening.

M: To dinner? What for?

W: I have passed my driving test!

M: Congratulations! I'm really glad to hear that.

W: Thank you! I have been preparing for it for half a year, you know. And I've made it at last.

M: So, where shall we have our dinner?

W: How about the Friendship Hotel? I like the food and service there.

M: I agree. I'll take you there in my car.

W: Fine. Let's go at half past six."
31,"Given the question ""Who cooked the soup?"" and the answer ""Mike's mother."", write a conversation that might have happened.
","
W: Did you cook the soup yourself, Mike? It's delicious.

M: No. My mother cooked it for me."
32,"Given the question ""Where does the conversation probably take place?"" and the answer ""In a library."", write a conversation that might have happened.
","
W: Are you having a problem?

M: Yes. I have to do a research paper for history. There's a major book that I need, but I can't find it.

W: Did you try the card list?

M: Yes, but it's not there.

W: Well, if it's a recent book, it won't be in the card list. All information about books since 1995 is in the computer. I advise you to try that.

M: No wonder! This book is published in 1998.

W: All you have to do is to type in the title or the writer's name.

M: Do you mean it will tell me whether the book is out or not?

W: Yes, it will. It will also give you the due date if it is out. If the book is in the library, it will tell you where you can find the book."
33,"Given the question ""What is the man doing?"" and the answer ""Looking for a book."", write a conversation that might have happened.
","
W: Are you having a problem?

M: Yes. I have to do a research paper for history. There's a major book that I need, but I can't find it.

W: Did you try the card list?

M: Yes, but it's not there.

W: Well, if it's a recent book, it won't be in the card list. All information about books since 1995 is in the computer. I advise you to try that.

M: No wonder! This book is published in 1998.

W: All you have to do is to type in the title or the writer's name.

M: Do you mean it will tell me whether the book is out or not?

W: Yes, it will. It will also give you the due date if it is out. If the book is in the library, it will tell you where you can find the book."
34,"Given the question ""What does the woman tell the man to do?"" and the answer ""To make use of the computer."", write a conversation that might have happened.
","
W: Are you having a problem?

M: Yes. I have to do a research paper for history. There's a major book that I need, but I can't find it.

W: Did you try the card list?

M: Yes, but it's not there.

W: Well, if it's a recent book, it won't be in the card list. All information about books since 1995 is in the computer. I advise you to try that.

M: No wonder! This book is published in 1998.

W: All you have to do is to type in the title or the writer's name.

M: Do you mean it will tell me whether the book is out or not?

W: Yes, it will. It will also give you the due date if it is out. If the book is in the library, it will tell you where you can find the book."
35,"Given the question ""What didn't the man do yesterday?"" and the answer ""Play games."", write a conversation that might have happened.
","
F: When did you start your work last night?

M: I began to work after the TV news finished."
36,"Given the question ""What is the man doing now?"" and the answer ""Playing computer games."", write a conversation that might have happened.
","
W: Have you been wasting your time on those online games again?

M: Not really. I've worked on my term paper a lot this week and I need a break."
37,"Given the question ""What are the speakers doing?"" and the answer ""Cooking."", write a conversation that might have happened.
","
W: Well, the salad's almost ready. How's the beef going? I'm starving.

M: So am I. The beef looks just about ready. Just one minute ... ow!

W: What's the matter?

M: Oh, my finger, I burned my finger!

W: Oh, wait, I'll get some ice and put it on your finger.

M: OK.

W: There.

M: Ah, ah, much better. The ice really works.

W: How does it feel?

M: Oh, I feel good. Thanks. Let's eat."
38,"Given the question ""What happened to the man's finger?"" and the answer ""It's burnt."", write a conversation that might have happened.
","
W: Well, the salad's almost ready. How's the beef going? I'm starving.

M: So am I. The beef looks just about ready. Just one minute ... ow!

W: What's the matter?

M: Oh, my finger, I burned my finger!

W: Oh, wait, I'll get some ice and put it on your finger.

M: OK.

W: There.

M: Ah, ah, much better. The ice really works.

W: How does it feel?

M: Oh, I feel good. Thanks. Let's eat."
39,"Given the question ""What was put on the man's finger?"" and the answer ""The ice."", write a conversation that might have happened.
","
W: Well, the salad's almost ready. How's the beef going? I'm starving.

M: So am I. The beef looks just about ready. Just one minute ... ow!

W: What's the matter?

M: Oh, my finger, I burned my finger!

W: Oh, wait, I'll get some ice and put it on your finger.

M: OK.

W: There.

M: Ah, ah, much better. The ice really works.

W: How does it feel?

M: Oh, I feel good. Thanks. Let's eat."
40,"Given the question ""What does the woman suggest?"" and the answer ""They go to buy a TV set at a bargain price."", write a conversation that might have happened.
","
M: This TV set is getting worse and worse. Now it doesn't work at all.

W: Here's an advertisement on the newspaper about a big TV sale. Usually a big sale like this would have some good bargains. What would you say?"
41,"Given the question ""What's the relationship between the two persons?"" and the answer ""Wife and husband."", write a conversation that might have happened.
","
M: When in Rome, do as the Romans do, they say.

W: What do the Romans do?

M: They live in Rome, of course, and go to work by car or bus. But sometimes it takes too long that way because of the traffic jams, so they walk.

W: In other words, the Romans do what everyone else does.

M: Yes, but they do it differently. Everything is different.

W: What do you mean?

M: Well, the climate is different for a start. It doesn't rain so much as it does in England. The sun shines more often.

W: I envy them for the sun.

M: I Know. You hate the rain, don't you?

W: I certainly do.

M: And a Roman really loves life. They always eat spaghetti and drink wine.

W: Not always, but they like a good meal. Lots of tourists go to Rome just for food.

M: Sure."
42,"Given the question ""What does the woman hate?"" and the answer ""Rain."", write a conversation that might have happened.
","
M: When in Rome, do as the Romans do, they say.

W: What do the Romans do?

M: They live in Rome, of course, and go to work by car or bus. But sometimes it takes too long that way because of the traffic jams, so they walk.

W: In other words, the Romans do what everyone else does.

M: Yes, but they do it differently. Everything is different.

W: What do you mean?

M: Well, the climate is different for a start. It doesn't rain so much as it does in England. The sun shines more often.

W: I envy them for the sun.

M: I Know. You hate the rain, don't you?

W: I certainly do.

M: And a Roman really loves life. They always eat spaghetti and drink wine.

W: Not always, but they like a good meal. Lots of tourists go to Rome just for food.

M: Sure."
43,"Given the question ""What do lots of tourists go to Rome for?"" and the answer ""Food."", write a conversation that might have happened.
","
M: When in Rome, do as the Romans do, they say.

W: What do the Romans do?

M: They live in Rome, of course, and go to work by car or bus. But sometimes it takes too long that way because of the traffic jams, so they walk.

W: In other words, the Romans do what everyone else does.

M: Yes, but they do it differently. Everything is different.

W: What do you mean?

M: Well, the climate is different for a start. It doesn't rain so much as it does in England. The sun shines more often.

W: I envy them for the sun.

M: I Know. You hate the rain, don't you?

W: I certainly do.

M: And a Roman really loves life. They always eat spaghetti and drink wine.

W: Not always, but they like a good meal. Lots of tourists go to Rome just for food.

M: Sure."
44,"Given the question ""What does the woman mean?"" and the answer ""She wants to know how the man likes the hotel."", write a conversation that might have happened.
","
W: What do you think of your hotel?

M: Not very good, I'm afraid."
45,"Given the question ""Where does the conversation take place?"" and the answer ""In a hospital."", write a conversation that might have happened.
","
W: Hi, Mike! How are you feeling now?

M: How did you know I was here? Is it Tom?

W: I was talking with Bob yesterday and I learnt your right leg had been injured. How did it happen?

M: Their right back Tom knocked me down when I rushed to their goal with the ball.

W: Wow! He must have hit you hard.

M: Of course. He hit me from the back and sent me rolling over and over. At the time I had a lot of pain. Anyway, they brought me here.

W: Nothing serious, I hope.

M: The doctor said there weren't any internal injuries, but that I'd better stay here a couple of days.

W: Well, Mike. Take it easy.

M: Thank you for your coming. And thanks for the flowers."
46,"Given the question ""What do we know about the man?"" and the answer ""He got injured in a football match."", write a conversation that might have happened.
","
W: Hi, Mike! How are you feeling now?

M: How did you know I was here? Is it Tom?

W: I was talking with Bob yesterday and I learnt your right leg had been injured. How did it happen?

M: Their right back Tom knocked me down when I rushed to their goal with the ball.

W: Wow! He must have hit you hard.

M: Of course. He hit me from the back and sent me rolling over and over. At the time I had a lot of pain. Anyway, they brought me here.

W: Nothing serious, I hope.

M: The doctor said there weren't any internal injuries, but that I'd better stay here a couple of days.

W: Well, Mike. Take it easy.

M: Thank you for your coming. And thanks for the flowers."
47,"Given the question ""What is one of Shawn's concern about the dog?"" and the answer ""It can be somewhat aggressive."", write a conversation that might have happened.
","
Norman: Hey, neighbor. How's it going?

Shawn: Fine. How about you?

Norman: Okay. Huh, by the way, my wife and I are going out of town this weekend, and I was wondering if you could take care of some of our animals while we're gone. You know our dog, Jaws, don't you?

Shawn: Yeah. My leg still hurts from the last incident.

Norman: Hey, he's just a playful little beast.

Shawn: Right.

Norman: Hey, he likes to bark a little, and his bark is worse than his bite.

Shawn: Oh yeah.

Norman: Just feed him a can of dog food a day, and make sure he has plenty of water in his dish. [Oh] And then, take him for a walk around the block.

Shawn: Well, how about if I just throw a Frisbee over the fence to give him some exercise? Wouldn't that work?

Norman: Ah, and then, he likes to watch the 3:00 soap opera on Channel 4 [What?] ... and brush his teeth after you give you some doggie treats around 4:00.

Shawn: Man, you really pamper your dog.

Norman: And, then brush his fur for about twenty minutes. He tends to shed this time of year. [Ah, what?] And then scratch him around the ears. Otherwise, he feels neglected.

Shawn: Is that it?

Norman: Well, and then there's Claws.

Shawn: Claws? Who's Claws.

Norman: Oh, he's the cat we adopted from the animal shelter, but he's a little temperamental.

Shawn: What do you mean ""temperamental""?

Norman: Well, he has mood swings [Mood swings?], but he's been doing better since he's been going to the animal therapist.

Shawn: A therapist?

Norman: So, be sure to feed him a half cup of cat food two times a day [What? A therapist ...], and don't forget to put out (on) some soft classical music during his nap time at 2:40 p.m. But don't let him out of the house because he might run away and chase the neighbor's dog.

Shawn: You have some high-maintenance animals.

Norman: Not really. And, don't forget to change the cat litter daily, or he might have an accident on the carpet. [Oh, great.] And finally, there's Buttercup.

Shawn: Buttercup? Who's Buttercu ...? I'm afraid to ask.

Norman:..."
48,"Given the question ""What is Shawn supposed to do between 3:00-4:00 p.m. for the dog?"" and the answer ""Let the dog watch a program on television."", write a conversation that might have happened.
","
Norman: Hey, neighbor. How's it going?

Shawn: Fine. How about you?

Norman: Okay. Huh, by the way, my wife and I are going out of town this weekend, and I was wondering if you could take care of some of our animals while we're gone. You know our dog, Jaws, don't you?

Shawn: Yeah. My leg still hurts from the last incident.

Norman: Hey, he's just a playful little beast.

Shawn: Right.

Norman: Hey, he likes to bark a little, and his bark is worse than his bite.

Shawn: Oh yeah.

Norman: Just feed him a can of dog food a day, and make sure he has plenty of water in his dish. [Oh] And then, take him for a walk around the block.

Shawn: Well, how about if I just throw a Frisbee over the fence to give him some exercise? Wouldn't that work?

Norman: Ah, and then, he likes to watch the 3:00 soap opera on Channel 4 [What?] ... and brush his teeth after you give you some doggie treats around 4:00.

Shawn: Man, you really pamper your dog.

Norman: And, then brush his fur for about twenty minutes. He tends to shed this time of year. [Ah, what?] And then scratch him around the ears. Otherwise, he feels neglected.

Shawn: Is that it?

Norman: Well, and then there's Claws.

Shawn: Claws? Who's Claws.

Norman: Oh, he's the cat we adopted from the animal shelter, but he's a little temperamental.

Shawn: What do you mean ""temperamental""?

Norman: Well, he has mood swings [Mood swings?], but he's been doing better since he's been going to the animal therapist.

Shawn: A therapist?

Norman: So, be sure to feed him a half cup of cat food two times a day [What? A therapist ...], and don't forget to put out (on) some soft classical music during his nap time at 2:40 p.m. But don't let him out of the house because he might run away and chase the neighbor's dog.

Shawn: You have some high-maintenance animals.

Norman: Not really. And, don't forget to change the cat litter daily, or he might have an accident on the carpet. [Oh, great.] And finally, there's Buttercup.

Shawn: Buttercup? Who's Buttercu ...? I'm afraid to ask.

Norman:..."
49,"Given the question ""Which point is NOT true about the cat?"" and the answer ""The cat enjoys listening to rock music."", write a conversation that might have happened.
","
Norman: Hey, neighbor. How's it going?

Shawn: Fine. How about you?

Norman: Okay. Huh, by the way, my wife and I are going out of town this weekend, and I was wondering if you could take care of some of our animals while we're gone. You know our dog, Jaws, don't you?

Shawn: Yeah. My leg still hurts from the last incident.

Norman: Hey, he's just a playful little beast.

Shawn: Right.

Norman: Hey, he likes to bark a little, and his bark is worse than his bite.

Shawn: Oh yeah.

Norman: Just feed him a can of dog food a day, and make sure he has plenty of water in his dish. [Oh] And then, take him for a walk around the block.

Shawn: Well, how about if I just throw a Frisbee over the fence to give him some exercise? Wouldn't that work?

Norman: Ah, and then, he likes to watch the 3:00 soap opera on Channel 4 [What?] ... and brush his teeth after you give you some doggie treats around 4:00.

Shawn: Man, you really pamper your dog.

Norman: And, then brush his fur for about twenty minutes. He tends to shed this time of year. [Ah, what?] And then scratch him around the ears. Otherwise, he feels neglected.

Shawn: Is that it?

Norman: Well, and then there's Claws.

Shawn: Claws? Who's Claws.

Norman: Oh, he's the cat we adopted from the animal shelter, but he's a little temperamental.

Shawn: What do you mean ""temperamental""?

Norman: Well, he has mood swings [Mood swings?], but he's been doing better since he's been going to the animal therapist.

Shawn: A therapist?

Norman: So, be sure to feed him a half cup of cat food two times a day [What? A therapist ...], and don't forget to put out (on) some soft classical music during his nap time at 2:40 p.m. But don't let him out of the house because he might run away and chase the neighbor's dog.

Shawn: You have some high-maintenance animals.

Norman: Not really. And, don't forget to change the cat litter daily, or he might have an accident on the carpet. [Oh, great.] And finally, there's Buttercup.

Shawn: Buttercup? Who's Buttercu ...? I'm afraid to ask.

Norman:..."
